Country,Population
Afghanistan,34656
Albania,2926
Algeria,40606
Andorra,77
Angola,28813
Antigua and Barbuda,101
Argentina,43847
Armenia,2925
Australia,24126
Austria,8712
Azerbaijan,9725
Bahamas,391
Bahrain,1425
Bangladesh,162952
Barbados,285
Belarus,9480
Belgium,11358
Belize,367
Benin,10872
Bhutan,798
Bolivia (Plurinational State of),10888
Bosnia and Herzegovina,3517
Botswana,2250
Brazil,207653
Brunei Darussalam,423
Bulgaria,7131
Burkina Faso,18646
Burundi,10524
Cabo Verde,540
Cambodia,15762
Cameroon,23439
Canada,36290
Central African Republic,4595
Chad,14453
Chile,17910
China,1411415
Colombia,48653
Comoros,796
Congo,5126
Cook Islands,17
Costa Rica,4857
Côte d’Ivoire,23696
Croatia,4213
Cuba,11476
Cyprus,1170
Czechia,10611
Democratic People's Republic of Korea,25369
Democratic Republic of the Congo,78736
Denmark,5712
Djibouti,942
Dominica,74
Dominican Republic,10649
Ecuador,16385
Egypt,95689
El Salvador,6345
Equatorial Guinea,1221
Eritrea,4955
Estonia,1312
Eswatini,1343
Ethiopia,102403
Fiji,899
Finland,5503
France,64721
Gabon,1980
Gambia,2039
Georgia,3925
Germany,81915
Ghana,28207
Greece,11184
Grenada,107
Guatemala,16582
Guinea,12396
Guinea-Bissau,1816
Guyana,773
Haiti,10847
Honduras,9113
Hungary,9753
Iceland,332
India,1324171
Indonesia,261115
Iran (Islamic Republic of),80277
Iraq,37203
Ireland,4726
Israel,8192
Italy,59430
Jamaica,2881
Japan,127749
Jordan,9456
Kazakhstan,17988
Kenya,48462
Kiribati,114
Kuwait,4053
Kyrgyzstan,5956
Lao People's Democratic Republic,6758
Latvia,1971
Lebanon,6007
Lesotho,2204
Liberia,4614
Libya,6293
Lithuania,2908
Luxembourg,576
Madagascar,24895
Malawi,18092
Malaysia,31187
Maldives,428
Mali,17995
Malta,429
Marshall Islands,53
Mauritania,4301
Mauritius,1262
Mexico,127540
Micronesia (Federated States of),105
Monaco,38
Mongolia,3027
Montenegro,629
Morocco,35277
Mozambique,28829
Myanmar,52885
Namibia,2480
Nauru,11
Nepal,28983
Netherlands,16987
New Zealand,4661
Nicaragua,6150
Niger,20673
Nigeria,185990
Niue,2
Norway,5255
Oman,4425
Pakistan,193203
Palau,22
Panama,4034
Papua New Guinea,8085
Paraguay,6725
Peru,31774
Philippines,103320
Poland,38224
Portugal,10372
Qatar,2570
Republic of Korea,50792
Republic of Moldova,4060
The former Yugoslav Republic of Macedonia,2081
Romania,19778
Russian Federation,143965
Rwanda,11918
Saint Kitts and Nevis,55
Saint Lucia,178
Saint Vincent and the Grenadines,110
Samoa,195
San Marino,33
Sao Tome and Principe,200
Saudi Arabia,32276
Senegal,15412
Serbia,8820
Seychelles,94
Sierra Leone,7396
Singapore,5622
Slovakia,5444
Slovenia,2078
Solomon Islands,599
Somalia,14318
South Africa,56015
South Sudan,12231
Spain,46348
Sri Lanka,20798
Sudan,39579
Suriname,558
Sweden,9838
Switzerland,8402
Syrian Arab Republic,18430
Tajikistan,8735
Thailand,68864
Timor-Leste,1269
Togo,7606
Tonga,107
Trinidad and Tobago,1365
Tunisia,11403
Turkey,79512
Turkmenistan,5663
Tuvalu,11
Uganda,41488
Ukraine,44439
United Arab Emirates,9270
United Kingdom of Great Britain and Northern Ireland,65789
United Republic of Tanzania,55572
United States of America,322180
Uruguay,3444
Uzbekistan,31447
Vanuatu,270
Venezuela (Bolivarian Republic of),31568
Viet Nam,94569
Yemen,27584
Zambia,16591
Zimbabwe,16150
